json,主導企業名稱,計劃名稱,企業網址,計畫起訖時間,計畫總經費,計畫補助款,計畫自籌款,link
outputs/553.json,凌華科技股份有限公司,工業電腦樂高,,"93年5月1日 至 95年10月31日","58,900 仟元","18,000 仟元","40,900 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=553
outputs/554.json,展壯園藝股份有限公司,蘭花產業產銷電子化整合計畫(規劃案),,"93年3月1日 至 93年6月30日","5,265 仟元","2,000 仟元","3,265 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=554
outputs/555.json,臺灣電視事業股份有限公司,數位電視/電信加值服務示範性資訊應用系統整合開發計畫,,"93年7月1日 至 95年6月30日","46,683 仟元","15,000 仟元","31,683 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=555
outputs/556.json,中國電視股份有限公司,中文互動式無線數位電視應用及營運環境建置計畫,,"93年7月1日 至 95年6月30日","46,502 仟元","14,000 仟元","32,502 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=556
outputs/557.json,中國廣播股份有限公司,DAB語音圖文資訊之整合應用暨商業營運模式計畫(規劃案),,"93年8月1日 至 93年12月31日","9,084 仟元","3,500 仟元","5,584 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=557
outputs/558.json,維州生物科股份有限公司,臨床試驗資訊系統,,"93年6月1日 至 95年11月30日","34,356 仟元","10,000 仟元","24,356 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=558
outputs/559.json,神達電腦股份有限公司,寰淨計畫－神達電腦綠色供應鏈計畫（規劃案）,,"93年3月1日 至 93年6月30日","7,804 仟元","3,900 仟元","3,904 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=559
outputs/560.json,美亞捷運股份有限公司,全球運籌資訊後勤支援系統計畫,,"93年6月1日 至 93年10月30日","4,060 仟元","1,200 仟元","2,860 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=560
outputs/561.json,永豐餘造紙股份有限公司,供應鏈RFID資訊應用開發規劃計畫,,"93年5月1日 至 93年12月31日","10,000 仟元","4,500 仟元","5,500 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=561
outputs/562.json,新麗企業股份有限公司,新麗不織布功能性產品全球運籌中心,,"93年7月1日 至 95年9月30日","46,479 仟元","14,600 仟元","31,879 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=562
outputs/563.json,潤泰全球股份有限公司,潤泰全球供應服務,,"93年7月1日 至 95年12月31日","53,204 仟元","18,600 仟元","34,604 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=563
